year,eez_country,GDP
2006,ABW,24045.27248
2006,AFG,263.7336917
2006,AGO,2599.566464
2006,ALB,2972.743265
2006,AND,42675.81276
2006,ARE,41907.40566
2006,ARG,5919.012037
2006,ARM,2158.143697
2006,ASM,8391.561067
2006,ATG,13989.71567
2006,AUS,36044.92281
2006,AUT,40635.28182
2006,AZE,2473.081819
2006,BDI,167.3764845
2006,BEL,38672.70594
2006,BEN,855.2940392
2006,BFA,473.0291849
2006,BGD,509.6401429
2006,BGR,4523.050833
2006,BHR,19307.60966
2006,BHS,30713.70528
2006,BIH,3416.510596
2006,BLR,3847.434124
2006,BLZ,4153.894738
2006,BMU,83912.6978
2006,BOL,1218.874459
2006,BRA,5886.463588
2006,BRB,15199.45797
2006,BRN,30979.87917
2006,BTN,1330.965297
2006,BWA,5516.03921
2006,CAF,354.6713801
2006,CAN,40385.86996
2006,CHE,57579.50195
2006,CHI,63239.65383
2006,CHL,9464.550243
2006,CHN,2099.229435
2006,CIV,949.1318328
2006,CMR,1062.137433
2006,COD,255.4330838
2006,COG,2064.344523
2006,COL,3741.093171
2006,COM,1113.957757
2006,CPV,2361.385134
2006,CRI,5201.514095
2006,CUB,4683.566155
2006,CUW,
2006,CYM,83322.78344
2006,CYP,26729.3234
2006,CZE,15183.63605
2006,DEU,36323.44774
2006,DJI,967.6686229
2006,DMA,5518.399108
2006,DNK,52026.99951
2006,DOM,4134.683785
2006,DZA,3478.654871
2006,ECU,3328.882972
2006,EGY,1398.190624
2006,ERI,415.0365994
2006,ESP,28365.31349
2006,EST,12631.56777
2006,ETH,194.6874305
2006,FIN,41188.0937
2006,FJI,3747.860716
2006,FRA,36443.62344
2006,FRO,41522.54386
2006,FSM,2406.182916
2006,GAB,7214.914544
2006,GBR,44599.69757
2006,GEO,1996.057129
2006,GHA,911.9986756
2006,GIB,
2006,GIN,453.4035185
2006,GMB,662.362461
2006,GNB,429.6222659
2006,GNQ,12857.33605
2006,GRC,24801.15781
2006,GRD,6658.540847
2006,GRL,35458.12312
2006,GTM,2287.935715
2006,GUM,26555.6452
2006,GUY,1954.133308
2006,HKG,28224.21506
2006,HND,1420.136121
2006,HRV,11703.33789
2006,HTI,508.9688066
2006,HUN,11475.82271
2006,IDN,1589.801489
2006,IMN,42106.80118
2006,IND,806.7532806
2006,IRL,54306.42932
2006,IRN,3774.357841
2006,IRQ,2373.214785
2006,ISL,56673.60244
2006,ISR,21837.37849
2006,ITA,33501.65817
2006,JAM,4321.043327
2006,JOR,2548.268658
2006,JPN,35433.98896
2006,KAZ,5291.57565
2006,KEN,685.9545322
2006,KGZ,543.1107024
2006,KHM,539.7501687
2006,KIR,1168.448531
2006,KNA,13612.7678
2006,KOR,21743.47745
2006,KWT,42781.3665
2006,LAO,590.6327074
2006,LBN,4626.859808
2006,LBR,336.1156743
2006,LBY,9336.35667
2006,LCA,7669.074351
2006,LIE,114390.5997
2006,LKA,1435.817177
2006,LSO,904.6034022
2006,LTU,9240.642548
2006,LUX,89739.7117
2006,LVA,9663.373451
2006,MAC,29950.77311
2006,MAF,
2006,MAR,2196.01219
2006,MCO,134044.7012
2006,MDA,1183.379211
2006,MDG,338.7511265
2006,MDV,4809.963115
2006,MEX,9068.294387
2006,MHL,2608.605448
2006,MKD,3325.635809
2006,MLI,523.0386031
2006,MLT,16671.5672
2006,MMR,294.1631813
2006,MNE,4425.678873
2006,MNG,1334.211681
2006,MNP,17715.90136
2006,MOZ,434.0340288
2006,MRT,1288.144297
2006,MUS,5695.969327
2006,MWI,308.1634757
2006,MYS,6209.124508
2006,NAM,3974.522425
2006,NCL,
2006,NER,335.3414379
2006,NGA,1656.424759
2006,NIC,1226.642974
2006,NLD,44863.35063
2006,NOR,74148.32008
2006,NPL,346.9452514
2006,NRU,
2006,NZL,26671.32942
2006,OMN,14420.51706
2006,PAK,836.8605211
2006,PAN,5348.895292
2006,PER,3154.331237
2006,PHL,1452.438656
2006,PLW,9673.945752
2006,PNG,1256.978891
2006,POL,9038.654807
2006,PRI,22935.94116
2006,PRK,
2006,PRT,19822.84603
2006,PRY,2271.090038
2006,PSE,1441.4617
2006,PYF,
2006,QAT,59530.15354
2006,ROU,5757.496429
2006,RUS,6920.189125
2006,RWA,368.2488929
2006,SAU,15384.74015
2006,SDN,905.3097449
2006,SEN,1040.903994
2006,SGP,33769.15416
2006,SLB,949.3376001
2006,SLE,323.3891849
2006,SLV,2631.820415
2006,SMR,64248.0507
2006,SOM,458
2006,SRB,4382.617279
2006,SSD,
2006,STP,883.0697315
2006,SUR,5197.717047
2006,SVK,13159.75944
2006,SVN,19672.96549
2006,SWE,46593.60216
2006,SWZ,3176.700338
2006,SXM,
2006,SYC,12014.39987
2006,SYR,1748.90568
2006,TCA,24561.65051
2006,TCD,709.7651951
2006,TGO,407.6946979
2006,THA,3369.543403
2006,TJK,408.8385907
2006,TKM,2136.474322
2006,TLS,446.4577497
2006,TON,2892.039182
2006,TTO,14102.49585
2006,TUN,3370.033926
2006,TUR,8035.377338
2006,TUV,2263.128601
2006,TZA,485.4974874
2006,UGA,347.9903568
2006,UKR,2300.769709
2006,URY,5887.848703
2006,USA,46298.73144
2006,UZB,654.2838373
2006,VCT,5625.35139
2006,VEN,6833.377894
2006,VGB,
2006,VIR,41560.9342
2006,VNM,784.3724223
2006,VUT,2049.618856
2006,WSM,2796.570246
2006,XKX,2237.126598
2006,YEM,921.4184439
2006,ZAF,5602.011044
2006,ZMB,1047.919187
2006,ZWE,447.8549242
