date,time,longitude,latitude,attack_type,location_description,nearest_country,eez_country,shore_distance,shore_longitude,shore_latitude,attack_description,vessel_name,vessel_type,vessel_status,data_source
01-01-2009,NA,47.05,13.0833,Attempted,Gulf of Aden,YEM,YEM,49.88960814,46.82422936,13.47630443,NA,Abul Kalam Azad,NA,Steaming,mappingpiracy
01-01-2009,NA,50.5667,14.35,Attempted,Gulf of Aden,YEM,YEM,68.00536091,50.34302819,14.92475007,NA,S. Venus,NA,Steaming,mappingpiracy
01-01-2009,NA,49.4833,13.8833,Attempted,Gulf of Aden,YEM,YEM,71.19186256,49.00367272,14.32477448,NA,Corina,NA,Steaming,mappingpiracy
01-01-2009,NA,51.7833,14.7833,Attempted,Gulf of Aden,YEM,YEM,62.33488484,51.65528405,15.33274974,NA,S. Venus,NA,Steaming,mappingpiracy
01-01-2009,NA,51.1167,14.6033,Attempted,Gulf of Aden,YEM,YEM,60.66163646,51.06983483,15.14964427,NA,Super Star III,NA,Steaming,mappingpiracy
01-01-2009,NA,48.9667,13.9167,Hijacked,Gulf of Aden,YEM,YEM,29.83004665,48.73829186,14.06818268,NA,Blue Star,NA,Steaming,mappingpiracy
01-01-2009,NA,51.2433,14.3917,Attempted,Gulf of Aden,YEM,YEM,85.91820214,51.06983483,15.14964427,NA,Cristina A,NA,Steaming,mappingpiracy
02-01-2009,NA,50.8667,14.315,Attempted,Gulf of Aden,YEM,YEM,85.18283588,50.66146895,15.05849844,NA,Samanyolu,NA,Steaming,mappingpiracy
02-01-2009,NA,50.65,13.7,Attempted,Gulf of Aden,YEM,YEM,136.3060127,50.17953535,14.84332917,NA,Kriti Episkopi,NA,Steaming,mappingpiracy
02-01-2009,NA,47.5433,13.2167,Attempted,Gulf of Aden,YEM,YEM,50.95768471,47.39820397,13.65485261,NA,Chipolbrok Sun,NA,Steaming,mappingpiracy
02-01-2009,NA,47.5417,13.1833,Attempted,Gulf of Aden,YEM,YEM,54.43525353,47.39820397,13.65485261,NA,King Daniel,NA,Steaming,mappingpiracy
03-01-2009,NA,-77.1567,3.8267,Boarding,"Buenaventura Anchorage, Colombia",COL,COL,1.603144275,-77.15038001,3.813666083,NA,Atlantic Dream,NA,Anchored,mappingpiracy
03-01-2009,NA,45.1667,12.9167,Hijacked,Gulf of Aden,YEM,YEM,7.249207386,45.11817468,12.96173737,NA,Sea Princess II,NA,Steaming,mappingpiracy
04-01-2009,NA,48.25,13.4,Attempted,Gulf of Aden,YEM,YEM,63.31583186,48.18873132,13.96914297,NA,Donat,NA,Steaming,mappingpiracy
04-01-2009,NA,48.7083,13.5667,Attempted,Gulf of Aden,YEM,YEM,52.67320552,48.68930098,14.04242585,NA,Vulturnus,NA,Steaming,mappingpiracy
